timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2022-05-18T00:00:00Z,8.89559848,9.09917221,7.65750461,8.02345169,1183400244.27,8.89813965,9.08702591,7.66848655,8.03358069,346747870.41,94319,346747870,13912871,683624272,139020909
2022-05-17T00:00:00Z,8.10398457,9.28279906,8.06889389,8.88532942,1479757327.20,8.11125936,9.29171797,8.08441879,8.90186309,501682709.21,137243,501682709,18943536,812611580,146382257
2022-05-16T00:00:00Z,9.13908055,9.13908055,7.83822752,8.08964507,1169971331.88,9.15640284,9.15640284,7.86190982,8.10526416,328482650.17,70301,328482650,13974606,630518238,196925535
2022-05-15T00:00:00Z,8.71251172,9.24940243,8.12385372,9.16910073,1242629962.82,8.72534337,9.26640351,8.15138036,9.18473313,407395281.50,97999,407395281,16482555,698957488,119696638
2022-05-14T00:00:00Z,8.58591197,9.20138217,7.26824713,8.70148985,1773526486.52,8.60046412,9.22052516,7.29856143,8.71917397,544896820.78,215744,544896820,18828776,919903832,289681312
2022-05-13T00:00:00Z,7.87450153,9.82912021,7.71646558,8.59752143,2433606411.95,7.87613196,9.82910466,7.73077046,8.60739669,999991436.24,347256,999991436,49562427,1219736265,163969026
2022-05-12T00:00:00Z,5.82136946,9.19332565,5.44431083,7.93366571,4174276495.02,5.80850183,9.16939196,5.39836937,7.92760857,1459810719.87,426632,1459810719,76819352,2040506398,596713392
2022-05-11T00:00:00Z,9.07406940,9.46680615,5.14867361,5.75559674,2544204881.84,9.07733270,9.44497737,5.18941342,5.75632437,818912971.15,160173,818912971,43170002,1405855844,276105890
2022-05-10T00:00:00Z,8.03844648,10.23928003,7.83887945,9.06358843,2999319146.52,8.04446957,10.24872612,7.86244270,9.08137114,1006890185.65,146020,1006890185,49102186,1567420025,375760728
2022-05-09T00:00:00Z,11.26854101,11.63439051,7.94990052,8.05010200,2156497416.39,11.27234816,11.60718473,7.96623612,8.06098741,749062596.38,129921,749062596,26047022,1192782917,188474958
2022-05-08T00:00:00Z,12.40581299,12.54281039,11.10668244,11.28386738,1209515930.87,12.41575388,12.53569709,11.11502578,11.29146972,411203754.93,114587,411203754,11200130,554905850,232091607
2022-05-07T00:00:00Z,13.34068892,13.39475802,12.17820196,12.41859782,1335886623.33,13.34407392,13.39570740,12.19177150,12.42452200,483250578.92,95687,483250578,13734006,645886064,192920286
2022-05-06T00:00:00Z,13.73665873,13.97176613,12.74476394,13.34246670,1717363027.81,13.74377412,13.97813329,12.79333621,13.36012391,646174619.15,113134,646174619,20416251,919220172,131438850
2022-05-05T00:00:00Z,15.59706382,16.79673401,12.97461726,13.77580285,2893355532.45,15.59351579,16.75267394,12.98168947,13.76867186,1085398370.37,177407,1085398370,44402597,1367881722,395495434
2022-05-04T00:00:00Z,14.22070425,17.70808689,14.01642362,15.55455122,4118231601.68,14.22769534,17.75362863,14.03060787,15.55622935,1776554194.10,223780,1776554194,70234801,1930228404,340990421
2022-05-03T00:00:00Z,15.10813879,15.78331984,13.87167341,14.16194535,2226800906.01,15.11818209,15.78175970,13.88306319,14.16754793,793107257.69,85402,793107257,25231885,1014268070,394108289
2022-05-02T00:00:00Z,15.93913654,17.46110658,14.28749946,15.13080545,3543529700.74,15.94449088,17.48350408,14.30125726,15.13681680,1248300069.31,145040,1248300069,40097718,1531697123,723289748
2022-05-01T00:00:00Z,20.05450412,20.63251127,15.56384230,15.94982450,5212499135.53,20.08660182,20.82767247,15.54352062,15.95581044,2209551676.98,180786,2209551676,66562318,2220590155,715614198
2022-04-30T00:00:00Z,19.23197839,25.65082687,19.12565660,20.07013954,7853334835.94,19.23242742,25.82762987,19.08256782,20.09990677,3283720744.10,611922,3283720744,130506173,3552173434,886322560
2022-04-29T00:00:00Z,23.76382687,24.76546497,18.30617891,19.19633496,8702132436.28,23.75672027,24.90171121,18.26217644,19.20668637,3517643413.87,442663,3517643413,102553211,3621370904,1460122243
2022-04-28T00:00:00Z,19.45838133,27.88548145,19.19854199,23.79214695,6276179969.39,19.45423185,27.92722722,19.21707729,23.76938957,2816709212.55,573559,2816709212,95731912,2851900290,511264993
2022-04-27T00:00:00Z,18.13093339,20.07914029,17.92899859,19.48228216,2460862035.51,18.13043798,20.12068604,17.94058040,19.48410208,1020799603.44,313832,1020799603,33297762,1194462368,211988469
2022-04-26T00:00:00Z,19.36739439,19.59115274,17.41631515,18.18272031,2897659613.40,19.36953679,19.54112336,17.35744519,18.17172269,1214308590.16,213823,1214308590,33300668,1324576725,325259806
2022-04-25T00:00:00Z,16.88616645,19.84307769,16.35529150,19.47296402,3826978646.50,16.88690249,19.89005512,16.37737362,19.46749832,1508160159.10,215472,1508160159,43593027,1921025181,353984806
2022-04-24T00:00:00Z,16.73183150,17.92480474,15.94098938,16.86669069,2566522562.90,16.73239893,17.92454769,15.93005197,16.86291607,929307989.55,84272,929307989,30168101,1269093801,337868398
2022-04-23T00:00:00Z,15.41314152,18.56955097,15.21889080,16.75185167,3677584631.05,15.40975507,18.57454357,15.21175802,16.75367304,1499781717.91,67391,1499781717,51032484,1778371778,348331259
2022-04-22T00:00:00Z,14.32567429,15.58678858,13.77277930,15.45142582,1876800517.86,14.32269427,15.59728162,13.75921620,15.44777645,709878913.38,,709878913,25776357,831716020,309429226
2022-04-21T00:00:00Z,16.75701621,16.81130038,14.09645016,14.33141206,2199399227.46,16.75899903,16.80356021,14.09702060,14.32910932,861565997.28,,861565997,28669405,1019938667,289225156
2022-04-20T00:00:00Z,13.40566520,17.60894715,12.98656368,16.75017135,4453284831.23,13.40384491,17.63255834,12.99030119,16.74763866,1932139305.18,,1932139305,57985715,2054042609,409117200
2022-04-19T00:00:00Z,11.90053150,13.56064654,11.72059734,13.41144076,1435561304.99,11.90233322,13.55815612,11.72885519,13.41058749,517173695.83,,517173695,17885719,522908458,377593430
2022-04-18T00:00:00Z,11.72928020,11.99042963,10.98938515,11.89958596,654117773.88,11.72488446,12.01688275,11.02593755,11.90096341,248472360.02,,248472360,9318191,298207035,98120186
2022-04-17T00:00:00Z,11.71586391,12.12464633,11.48537898,11.75413503,458457315.61,11.71324292,12.10720051,11.47695398,11.75134067,171492895.27,,171492895,4417191,187348285,95198943
2022-04-16T00:00:00Z,12.28282634,12.34458379,11.34147055,11.71282460,483778571.45,12.27440061,12.34231378,11.35164214,11.71077722,181883855.95,,181883855,5879073,172245343,123770298
2022-04-15T00:00:00Z,12.31121245,12.65996740,12.04077749,12.27346601,513654912.33,12.31081862,12.65956567,12.04612082,12.26862906,201541108.42,,201541108,7275125,217322973,87515705
2022-04-14T00:00:00Z,13.27342115,13.60393822,11.98519223,12.31503685,999589728.27,13.27216446,13.59329279,11.98989262,12.31500013,408985259.12,,408985259,14426190,399673796,176504481
2022-04-13T00:00:00Z,11.61641903,13.49942253,11.50254117,13.26307743,1556210738.08,11.61332918,13.49809702,11.51969158,13.26347751,575053952.76,,575053952,18517263,632506958,330132563
2022-04-12T00:00:00Z,10.97666878,12.13682471,10.74594504,11.61853687,794480507.07,10.97936083,12.12927480,10.75520256,11.61602938,328526640.89,,328526640,9932193,343570322,112451349
2022-04-11T00:00:00Z,12.10160039,12.18071794,10.66305838,10.96547518,1045180288.78,12.10759616,12.15003213,10.65260728,10.96489176,441340927.45,,441340927,12592220,427672534,163574605
